Format,LMUTelemetry v2
Version,1
Player,Dean Davids
TrackName,Algarve International Circuit
CarName,The Bend Team WRT 2025 #31:LM
SessionUTC,2025-11-19T13:40:48Z
LapTime [s],248.563675
TrackLen [m],0.00
GameVersion,1.0
Event,Practice

LapDistance [m],LapTime [s],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Y [m],Z [m]
257.840,248.564,0,1.14,1759.80,38.78,0.00,0.07,5,-238.36,-12.43,304.45
257.840,248.564,0,1.14,1759.80,38.78,0.00,0.07,5,-238.36,-12.43,304.45
257.840,248.564,0,1.33,1758.09,40.46,0.00,0.07,5,-238.37,-12.43,304.46
257.840,248.564,0,1.33,1758.09,40.46,0.00,0.07,5,-238.37,-12.43,304.46
257.840,248.564,0,1.53,1756.61,42.00,0.00,0.08,5,-238.37,-12.43,304.46
257.840,248.564,0,1.73,1755.24,43.42,0.00,0.09,5,-238.37,-12.43,304.47
257.840,248.564,0,1.73,1755.24,43.42,0.00,0.09,5,-238.37,-12.43,304.47
257.840,248.564,0,1.94,1753.97,44.74,0.00,0.08,5,-238.37,-12.43,304.48
257.840,248.564,0,1.94,1753.97,44.74,0.00,0.08,5,-238.37,-12.43,304.48
257.904,248.564,0,2.15,1751.82,45.96,0.00,0.09,5,-238.38,-12.43,304.49
257.904,248.564,0,2.36,1743.86,47.11,0.00,0.08,5,-238.38,-12.43,304.50
257.904,248.564,0,2.36,1743.86,47.11,0.00,0.08,5,-238.38,-12.43,304.50
257.904,248.564,0,2.58,1736.80,48.05,0.00,0.08,5,-238.38,-12.43,304.52
257.904,248.564,0,2.58,1736.80,48.05,0.00,0.08,5,-238.38,-12.43,304.52
257.904,248.564,0,2.80,1731.43,48.76,0.00,0.08,5,-238.39,-12.43,304.53
257.904,248.564,0,2.80,1731.43,48.76,0.00,0.08,5,-238.39,-12.43,304.53
257.904,248.564,0,3.01,1726.75,49.48,0.00,0.08,5,-238.39,-12.44,304.55
257.904,248.564,0,3.22,1722.08,50.19,0.00,0.08,5,-238.40,-12.44,304.56
257.904,248.564,0,3.22,1722.08,50.19,0.00,0.08,5,-238.40,-12.44,304.56
257.904,248.564,0,3.43,1718.15,50.79,0.00,0.08,5,-238.40,-12.44,304.58
