Format,LMUTelemetry v2
Version,1
Player,Dean Davids
TrackName,Bahrain International Circuit
CarName,Toyota Gazoo Racing 2025 #7:LM
SessionUTC,2025-11-19T13:44:43Z
LapTime [s],137.562088
TrackLen [m],0.00
GameVersion,1.0
Event,Practice

LapDistance [m],LapTime [s],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Y [m],Z [m]
0.166,137.562,0,250.45,8194.80,99.13,0.00,-0.21,5,-218.43,7.32,-268.28
14.148,137.562,0,253.20,8272.83,99.14,0.00,-0.13,5,-217.37,7.32,-248.72
14.148,137.562,0,253.20,8272.83,99.14,0.00,-0.13,5,-217.37,7.32,-248.72
14.148,137.562,0,253.40,8270.74,99.14,0.00,-0.10,5,-217.30,7.33,-247.31
14.148,137.562,0,253.40,8270.74,99.14,0.00,-0.10,5,-217.30,7.33,-247.31
14.148,137.562,0,253.59,8271.13,99.17,0.00,-0.08,5,-217.23,7.33,-245.91
14.148,137.562,0,253.77,8277.10,99.15,0.00,-0.07,5,-217.15,7.33,-244.50
14.148,137.562,0,253.77,8277.10,99.15,0.00,-0.07,5,-217.15,7.33,-244.50
14.148,137.562,0,253.97,8270.66,99.13,0.00,-0.08,5,-217.08,7.33,-243.09
14.148,137.562,0,253.97,8270.66,99.13,0.00,-0.08,5,-217.08,7.33,-243.09
14.148,137.562,0,254.14,8292.41,99.10,0.00,-0.09,5,-217.01,7.33,-241.68
28.177,137.562,0,254.30,8313.06,99.12,0.00,-0.10,5,-216.93,7.33,-240.27
28.177,137.562,0,254.30,8313.06,99.12,0.00,-0.10,5,-216.93,7.33,-240.27
28.177,137.562,0,254.50,8305.29,99.16,0.00,-0.11,5,-216.86,7.33,-238.86
28.177,137.562,0,254.50,8305.29,99.16,0.00,-0.11,5,-216.86,7.33,-238.86
28.177,137.562,0,254.68,8311.73,99.19,0.00,-0.11,5,-216.79,7.33,-237.45
28.177,137.562,0,254.87,8303.56,99.13,0.00,-0.12,5,-216.71,7.33,-236.03
28.177,137.562,0,254.87,8303.56,99.13,0.00,-0.12,5,-216.71,7.33,-236.03
28.177,137.562,0,255.06,8303.72,99.09,0.00,-0.14,5,-216.64,7.33,-234.62
28.177,137.562,0,255.06,8303.72,99.09,0.00,-0.14,5,-216.64,7.33,-234.62
28.177,137.562,0,255.22,8325.61,99.06,0.00,-0.14,5,-216.57,7.33,-233.20
28.177,137.562,0,255.22,8325.61,99.06,0.00,-0.14,5,-216.57,7.33,-233.20
28.177,137.562,0,255.39,8330.58,99.10,0.00,-0.16,5,-216.50,7.33,-231.79
28.177,137.562,0,255.58,8327.74,99.10,0.00,-0.16,5,-216.42,7.33,-230.37
28.177,137.562,0,255.58,8327.74,99.10,0.00,-0.16,5,-216.42,7.33,-230.37
28.177,137.562,0,255.73,8358.98,99.12,0.00,-0.16,5,-216.35,7.33,-228.95
28.177,137.562,0,255.73,8358.98,99.12,0.00,-0.16,5,-216.35,7.33,-228.95
28.177,137.562,0,255.92,8347.60,99.12,0.00,-0.17,5,-216.28,7.33,-227.53
42.364,137.562,0,256.11,8337.56,99.13,0.00,-0.18,5,-216.21,7.33,-226.11
42.364,137.562,0,256.11,8337.56,99.13,0.00,-0.18,5,-216.21,7.33,-226.11
42.364,137.562,0,256.27,8343.13,99.13,0.00,-0.18,5,-216.14,7.33,-224.69
42.364,137.562,0,256.27,8343.13,99.13,0.00,-0.18,5,-216.14,7.33,-224.69
42.364,137.562,0,256.45,8343.03,99.13,0.00,-0.18,5,-216.06,7.33,-223.27
42.364,137.562,0,256.61,8356.84,99.13,0.00,-0.18,5,-215.99,7.33,-221.84
42.364,137.562,0,256.61,8356.84,99.13,0.00,-0.18,5,-215.99,7.33,-221.84
42.364,137.562,0,256.75,8379.34,99.13,0.00,-0.18,5,-215.92,7.34,-220.42
42.364,137.562,0,256.75,8379.34,99.13,0.00,-0.18,5,-215.92,7.34,-220.42
42.364,137.562,0,256.92,8375.73,99.13,0.00,-0.18,5,-215.85,7.34,-218.99
42.364,137.562,0,256.92,8375.73,99.13,0.00,-0.18,5,-215.85,7.34,-218.99
42.364,137.562,0,257.10,8354.57,99.17,0.00,-0.19,5,-215.78,7.34,-217.57
42.364,137.562,0,257.26,8366.63,99.16,0.00,-0.20,5,-215.71,7.34,-216.14
42.364,137.562,0,257.26,8366.63,99.16,0.00,-0.20,5,-215.71,7.34,-216.14
42.364,137.562,0,257.44,8364.67,99.14,0.00,-0.21,5,-215.64,7.34,-214.71
42.364,137.562,0,257.44,8364.67,99.14,0.00,-0.21,5,-215.64,7.34,-214.71
42.364,137.562,0,257.59,8369.58,99.17,0.00,-0.22,5,-215.57,7.34,-213.28
56.625,137.562,0,257.73,8377.45,99.19,0.00,-0.21,5,-215.50,7.34,-211.86
