player,v8,Dean Davids,0,2025111417168338
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,0.9,2025-11-14 07:20:40,Bahrain International Circuit,Toyota GR010,Practice,112.993,33.966,51.070,27.957
TrackID [int],Tracklen [m],EventID [int],EventID2 [int],Weather [txt],TeamID [int],Tyre [txt],Valid [b],Pitlap [b],Online [b],Lap [int],LapsInRace [int],Fuel at Start [kg],MaxGears [int],MaxRevs [rpm],IdleRevs [rpm},TrackTemp [C],AmbientTemp [C],Windspeed [m/s],WindDirection [ ]
3,5386.80322265625,1,121,Clear,6,Hard,true,false,true,18,101,40.29890060424805,7,8400.0,1680.0,41.80306839487895,24.023998044965822,0.0,0.0
FWing,RWing,OnThrottle,OffThrottle,FrontCamber,RearCamber,FrontToe,RearToe,FrontSusp,RearSusp,FrontAntiRoll,RearAntiRoll,FrontSuspH,RearSuspH,BrakePressure,BrakeBias,FLTyrePressure,FRTyrePressure,RLTyrePressure,RRTyrePressure,Ballast,FuelLoad
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,
LapDistance [m],LapTime [s],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Y [m],Z [m]
71,2,0.0,256,7268,100,0,0,6.0,-26927,730,-21897
142,4,0.0,256,7283,100,0,0,6.0,-26856,730,-21894
214,4,0.0,256,7286,100,0,0,6.0,-26784,730,-21891
285,6,0.0,257,7285,100,0,0,6.0,-26713,730,-21887
356,6,0.0,257,7282,100,0,0,6.0,-26642,730,-21884
427,8,0.0,257,7276,100,0,0,6.0,-26571,730,-21881
499,8,0.0,257,7280,100,0,0,6.0,-26500,730,-21877
570,10,0.0,257,7290,100,0,0,6.0,-26428,730,-21874
642,10,0.0,257,7298,100,0,0,6.0,-26357,730,-21871
713,12,0.0,257,7309,100,0,0,6.0,-26286,730,-21867
784,12,0.0,257,7313,100,0,0,6.0,-26214,730,-21864
856,14,0.0,257,7313,100,0,0,6.0,-26143,730,-21861
927,14,0.0,257,7316,100,0,0,6.0,-26071,730,-21857
999,16,0.0,258,7319,100,0,0,6.0,-26000,730,-21854
1071,16,0.0,258,7319,100,0,0,6.0,-25928,730,-21851
1142,18,0.0,258,7316,100,0,0,6.0,-25857,730,-21847
1214,18,0.0,258,7319,100,0,0,6.0,-25785,730,-21844
1285,20,0.0,258,7315,100,0,0,6.0,-25714,730,-21841
1357,20,0.0,258,7318,100,0,0,6.0,-25642,730,-21837
1429,22,0.0,258,7327,100,0,0,6.0,-25570,730,-21834
1501,22,0.0,258,7328,100,0,0,6.0,-25499,730,-21831
1572,24,0.0,258,7340,100,0,0,6.0,-25427,730,-21827
1644,24,0.0,259,7351,100,0,0,6.0,-25355,730,-21824
1716,26,0.0,259,7360,100,0,0,6.0,-25284,730,-21820
1788,26,0.0,259,7370,100,0,0,6.0,-25212,730,-21817
1860,28,0.0,259,7363,100,0,0,6.0,-25140,730,-21814
1932,28,0.0,259,7355,100,0,0,6.0,-25068,730,-21810
2004,30,0.0,259,7359,100,0,0,6.0,-24996,730,-21807
2076,30,0.0,259,7362,100,0,0,6.0,-24924,730,-21803
2148,32,0.0,259,7357,100,0,0,6.0,-24853,730,-21800
2220,32,0.0,259,7367,100,0,0,6.0,-24781,730,-21797
2292,34,0.0,259,7364,100,0,0,6.0,-24709,730,-21793
2364,34,0.0,260,7361,100,0,0,6.0,-24637,730,-21790
2436,36,0.0,260,7367,100,0,0,6.0,-24565,730,-21786
2508,36,0.0,260,7370,100,0,0,6.0,-24493,730,-21783
2580,38,0.0,260,7372,100,0,0,6.0,-24420,730,-21779
2652,38,0.0,260,7377,100,0,0,6.0,-24348,730,-21776
2725,40,0.0,260,7381,100,0,0,6.0,-24276,730,-21772
2797,40,0.0,260,7386,100,0,0,6.0,-24204,730,-21769
2869,42,0.0,260,7396,100,0,0,6.0,-24132,730,-21766
2941,42,0.0,260,7403,100,0,0,6.0,-24060,730,-21762
3014,44,0.0,260,7406,100,0,0,6.0,-23987,730,-21759
