Format,LMUTelemetry v2
Version,1
Player,Dean Davids
TrackName,Algarve International Circuit
CarName,The Bend Team WRT 2025 #31:LM
SessionUTC,2025-11-18T16:41:03Z
LapTime [s],10431.874023
TrackLen [m],0.00
GameVersion,1.0
Event,Practice

LapDistance [m],LapTime [s],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Y [m],Z [m]
5.009,10431.874,0,206.44,6815.60,95.77,0.00,0.03,4,-159.15,-9.10,64.26
39.841,10431.874,0,211.85,6998.93,93.81,0.00,0.05,4,-170.47,-9.10,103.33
39.841,10431.874,0,211.99,7015.18,93.81,0.00,0.09,4,-170.80,-9.10,104.46
39.841,10431.874,0,211.99,7015.18,93.81,0.00,0.09,4,-170.80,-9.10,104.46
39.841,10431.874,0,212.16,6996.10,93.77,0.00,0.09,4,-171.13,-9.10,105.59
39.841,10431.874,0,212.30,7017.76,93.81,0.00,0.08,4,-171.46,-9.10,106.72
39.841,10431.874,0,212.30,7017.76,93.81,0.00,0.08,4,-171.46,-9.10,106.72
39.841,10431.874,0,212.46,7007.59,93.80,0.00,0.05,4,-171.79,-9.10,107.85
51.633,10431.874,0,212.59,7020.27,93.76,0.00,-0.01,4,-172.12,-9.09,108.99
51.633,10431.874,0,212.59,7020.27,93.76,0.00,-0.01,4,-172.12,-9.09,108.99
51.633,10431.874,0,212.75,7022.46,93.82,0.00,-0.09,4,-172.45,-9.09,110.12
51.633,10431.874,0,212.75,7022.46,93.82,0.00,-0.09,4,-172.45,-9.09,110.12
51.633,10431.874,0,212.89,7025.55,93.77,0.00,-0.14,4,-172.78,-9.09,111.26
51.633,10431.874,0,213.03,7039.93,93.75,0.00,-0.20,4,-173.11,-9.09,112.39
51.633,10431.874,0,213.03,7039.93,93.75,0.00,-0.20,4,-173.11,-9.09,112.39
51.633,10431.874,0,213.18,7037.24,93.70,0.00,-0.24,4,-173.44,-9.09,113.53
51.633,10431.874,0,213.32,7052.85,93.67,0.00,-0.25,4,-173.77,-9.09,114.67
51.633,10431.874,0,213.32,7052.85,93.67,0.00,-0.25,4,-173.77,-9.09,114.67
51.633,10431.874,0,213.48,7039.13,93.70,0.00,-0.25,4,-174.10,-9.09,115.81
51.633,10431.874,0,213.60,7065.65,93.68,0.00,-0.22,4,-174.43,-9.09,116.94
51.633,10431.874,0,213.60,7065.65,93.68,0.00,-0.22,4,-174.43,-9.09,116.94
51.633,10431.874,0,213.77,7048.99,93.68,0.00,-0.18,4,-174.76,-9.09,118.08
51.633,10431.874,0,213.77,7048.99,93.68,0.00,-0.18,4,-174.76,-9.09,118.08
51.633,10431.874,0,213.89,7068.46,93.67,0.00,-0.12,4,-175.10,-9.08,119.22
63.490,10431.874,0,214.05,7063.67,93.68,0.00,-0.08,4,-175.43,-9.08,120.37
63.490,10431.874,0,214.05,7063.67,93.68,0.00,-0.08,4,-175.43,-9.08,120.37
63.490,10431.874,0,214.19,7075.88,93.64,0.00,-0.04,4,-175.76,-9.08,121.51
63.490,10431.874,0,214.35,7072.64,93.60,0.00,0.01,4,-176.09,-9.08,122.65
63.490,10431.874,0,214.35,7072.64,93.60,0.00,0.01,4,-176.09,-9.08,122.65
63.490,10431.874,0,214.48,7083.30,93.55,0.00,0.05,4,-176.43,-9.08,123.79
63.490,10431.874,0,214.48,7083.30,93.55,0.00,0.05,4,-176.43,-9.08,123.79
63.490,10431.874,0,214.62,7083.53,93.47,0.00,0.07,4,-176.76,-9.08,124.94
63.490,10431.874,0,214.75,7092.57,93.29,0.00,0.08,4,-177.09,-9.09,126.08
63.490,10431.874,0,214.75,7092.57,93.29,0.00,0.08,4,-177.09,-9.09,126.08
63.490,10431.874,0,214.88,7103.98,93.05,0.00,0.05,4,-177.43,-9.09,127.23
63.490,10431.874,0,215.03,7090.82,92.87,0.00,-0.02,4,-177.76,-9.09,128.38
63.490,10431.874,0,215.03,7090.82,92.87,0.00,-0.02,4,-177.76,-9.09,128.38
63.490,10431.874,0,215.16,7106.32,92.62,0.00,-0.09,4,-178.10,-9.10,129.52
63.490,10431.874,0,215.16,7106.32,92.62,0.00,-0.09,4,-178.10,-9.10,129.52
63.490,10431.874,0,215.30,7098.70,92.43,0.00,-0.17,4,-178.43,-9.10,130.67
75.412,10431.874,0,215.43,7111.54,92.21,0.00,-0.25,4,-178.77,-9.11,131.82
75.412,10431.874,0,215.43,7111.54,92.21,0.00,-0.25,4,-178.77,-9.11,131.82
75.412,10431.874,0,215.57,7117.30,91.89,0.00,-0.33,4,-179.10,-9.11,132.97
75.412,10431.874,0,215.71,7118.18,91.56,0.00,-0.37,4,-179.44,-9.11,134.12
75.412,10431.874,0,215.71,7118.18,91.56,0.00,-0.37,4,-179.44,-9.11,134.12
75.412,10431.874,0,215.83,7130.49,91.25,0.00,-0.39,4,-179.77,-9.11,135.27
75.412,10431.874,0,215.83,7130.49,91.25,0.00,-0.39,4,-179.77,-9.11,135.27
75.412,10431.874,0,215.98,7120.29,90.94,0.00,-0.41,4,-180.11,-9.11,136.42
75.412,10431.874,0,216.10,7138.66,90.66,0.00,-0.38,4,-180.44,-9.11,137.57
75.412,10431.874,0,216.10,7138.66,90.66,0.00,-0.38,4,-180.44,-9.11,137.57
75.412,10431.874,0,216.26,7123.32,90.33,0.00,-0.35,4,-180.78,-9.10,138.73
75.412,10431.874,0,216.26,7123.32,90.33,0.00,-0.35,4,-180.78,-9.10,138.73
75.412,10431.874,0,216.37,7145.98,89.98,0.00,-0.33,4,-181.12,-9.10,139.88
75.412,10431.874,0,216.50,7142.43,89.64,0.00,-0.29,4,-181.46,-9.10,141.03
75.412,10431.874,0,216.50,7142.43,89.64,0.00,-0.29,4,-181.46,-9.10,141.03
75.412,10431.874,0,216.62,7149.98,89.20,0.00,-0.23,4,-181.80,-9.10,142.19
87.407,10431.874,0,216.74,7151.98,88.69,0.00,-0.15,4,-182.13,-9.10,143.34
87.407,10431.874,0,216.74,7151.98,88.69,0.00,-0.15,4,-182.13,-9.10,143.34
87.407,10431.874,0,216.87,7151.58,88.15,0.00,-0.05,4,-182.47,-9.11,144.50
87.407,10431.874,0,216.97,7155.24,87.56,0.00,0.05,4,-182.81,-9.11,145.66
87.407,10431.874,0,216.97,7155.24,87.56,0.00,0.05,4,-182.81,-9.11,145.66
87.407,10431.874,0,217.09,7149.93,86.99,0.00,0.09,4,-183.15,-9.11,146.81
87.407,10431.874,0,217.09,7149.93,86.99,0.00,0.09,4,-183.15,-9.11,146.81
87.407,10431.874,0,217.20,7168.45,86.30,0.00,0.11,4,-183.49,-9.11,147.97
87.407,10431.874,0,217.32,7164.48,85.66,0.00,0.10,4,-183.83,-9.11,149.13
87.407,10431.874,0,217.32,7164.48,85.66,0.00,0.10,4,-183.83,-9.11,149.13
87.407,10431.874,0,217.42,7180.54,85.13,0.00,0.04,4,-184.17,-9.11,150.29
87.407,10431.874,0,217.54,7169.13,84.58,0.00,-0.02,4,-184.51,-9.11,151.45
87.407,10431.874,0,217.54,7169.13,84.58,0.00,-0.02,4,-184.51,-9.11,151.45
87.407,10431.874,0,217.65,7171.85,84.00,0.00,-0.09,4,-184.85,-9.11,152.61
87.407,10431.874,0,217.65,7171.85,84.00,0.00,-0.09,4,-184.85,-9.11,152.61
87.407,10431.874,0,217.76,7168.72,83.39,0.00,-0.11,4,-185.20,-9.11,153.77
99.466,10431.874,0,217.86,7174.62,82.79,0.00,-0.10,4,-185.54,-9.10,154.93
