Format,LMUTelemetry v2
Version,1
Player,Dean Davids
TrackName,Algarve International Circuit
CarName,The Bend Team WRT 2025 #31:LM
SessionUTC,2025-11-19T13:38:15Z
LapTime [s],0.000
TrackLen [m],0.00
GameVersion,1.0
Event,Practice

LapDistance [m],LapTime [s],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Y [m],Z [m]
86.022,0.000,0,1.11,4142.87,33.90,0.00,-0.37,1,-159.81,-8.82,147.77
86.022,0.000,0,1.11,4142.87,33.90,0.00,-0.37,1,-159.81,-8.82,147.77
86.022,0.000,0,1.32,4086.42,35.44,0.00,-0.27,1,-159.81,-8.82,147.77
86.022,0.000,0,1.32,4086.42,35.44,0.00,-0.27,1,-159.81,-8.82,147.77
86.023,0.000,0,1.54,4025.91,37.30,0.00,-0.21,1,-159.82,-8.83,147.77
86.023,0.000,0,1.79,3969.24,39.42,0.00,-0.14,1,-159.83,-8.83,147.77
86.023,0.000,0,1.79,3969.24,39.42,0.00,-0.14,1,-159.83,-8.83,147.77
86.023,0.000,0,2.05,3916.40,41.38,0.00,-0.09,1,-159.84,-8.83,147.76
86.023,0.000,0,2.05,3916.40,41.38,0.00,-0.09,1,-159.84,-8.83,147.76
86.023,0.000,0,2.33,3863.75,43.01,0.00,-0.08,1,-159.85,-8.83,147.76
86.023,0.000,0,2.63,3801.96,43.93,0.00,-0.08,1,-159.87,-8.83,147.76
86.023,0.000,0,2.63,3801.96,43.93,0.00,-0.08,1,-159.87,-8.83,147.76
86.023,0.000,0,2.95,3719.38,44.24,0.00,-0.07,1,-159.88,-8.83,147.75
86.023,0.000,0,2.95,3719.38,44.24,0.00,-0.07,1,-159.88,-8.83,147.75
86.023,0.000,0,3.28,3614.05,44.34,0.00,-0.01,1,-159.90,-8.83,147.75
86.023,0.000,0,3.63,3487.65,44.36,0.00,0.08,1,-159.92,-8.83,147.74
86.023,0.000,0,3.63,3487.65,44.36,0.00,0.08,1,-159.92,-8.83,147.74
86.023,0.000,0,3.99,3344.23,44.39,0.00,0.17,1,-159.94,-8.83,147.74
