Format,LMUTelemetry v2
Version,1
Player,Dean Davids
TrackName,Algarve International Circuit
CarName,The Bend Team WRT 2025 #31:LM
SessionUTC,2025-11-18T13:52:51Z
LapTime [s],302.325043
TrackLen [m],0.00
GameVersion,1.0
Event,Practice

LapDistance [m],LapTime [s],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Y [m],Z [m]
260.344,302.325,0,0.00,1740.59,0.00,61.26,-1.63,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.26,-1.63,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.20,-1.63,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.20,-1.63,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.20,-1.62,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.23,-1.62,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.23,-1.62,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.26,-1.63,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.26,-1.63,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.16,-1.63,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.19,-1.63,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.19,-1.63,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.24,-1.63,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.24,-1.63,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.26,-1.63,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.26,-1.63,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.26,-1.63,4,-238.31,-12.60,307.05
260.344,302.325,0,0.00,1740.59,0.00,61.26,-1.63,4,-238.31,-12.60,307.05
