player,v8,Dean Davids,0,2025111417168338
Game,version,date,track,car,event,laptime [s],S1 [s],S2 [s],S3 [s],S4+ [s]
LMU,0.9,2025-11-14 07:20:40,Bahrain International Circuit,Toyota GR010,Practice,112.993,33.966,51.070,27.957
TrackID [int],Tracklen [m],EventID [int],EventID2 [int],Weather [txt],TeamID [int],Tyre [txt],Valid [b],Pitlap [b],Online [b],Lap [int],LapsInRace [int],Fuel at Start [kg],MaxGears [int],MaxRevs [rpm],IdleRevs [rpm},TrackTemp [C],AmbientTemp [C],Windspeed [m/s],WindDirection [ ]
3,5386.80322265625,1,121,Clear,6,Hard,true,false,true,18,101,40.29890060424805,7,8400.0,1680.0,41.80306839487895,24.023998044965822,0.0,0.0
FWing,RWing,OnThrottle,OffThrottle,FrontCamber,RearCamber,FrontToe,RearToe,FrontSusp,RearSusp,FrontAntiRoll,RearAntiRoll,FrontSuspH,RearSuspH,BrakePressure,BrakeBias,FLTyrePressure,FRTyrePressure,RLTyrePressure,RRTyrePressure,Ballast,FuelLoad
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,
LapDistance [m],LapTime [s],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Y [m],Z [m]
0.71162486,0.025,0.0,256.24097,7267.8843,100.0,0.0,0.070297286,6.0,-269.26694,7.3010707,-218.97234
1.4235482,0.035,0.0,256.3438,7283.1206,100.0,0.0,0.067223184,6.0,-268.5558,7.301382,-218.93936
2.1357715,0.045,0.0,256.45703,7286.28,100.0,0.0,0.06514663,6.0,-267.8443,7.301656,-218.90633
2.8483086,0.055,0.0,256.5696,7285.393,100.0,0.0,0.0771784,6.0,-267.13254,7.3018837,-218.87325
3.561154,0.065,0.0,256.67902,7282.3354,100.0,0.0,0.07190559,6.0,-266.42044,7.3020654,-218.8401
4.274316,0.075,0.0,256.7976,7275.984,100.0,0.0,0.08585105,6.0,-265.70804,7.3021264,-218.80692
4.9877877,0.085,0.0,256.90222,7279.543,100.0,0.0,0.10040725,6.0,-264.99536,7.3020144,-218.77368
5.701529,0.095,0.0,256.9914,7290.0107,100.0,0.0,0.10983315,6.0,-264.28238,7.3017483,-218.74042
6.415526,0.105,0.0,257.08655,7298.384,100.0,0.0,0.12750417,6.0,-263.56915,7.3014193,-218.70714
7.1297894,0.115,0.0,257.1832,7308.8726,100.0,0.0,0.14328188,6.0,-262.85565,7.3010964,-218.67386
7.8443246,0.125,0.0,257.2821,7312.555,100.0,0.0,0.14543986,6.0,-262.14188,7.3007956,-218.64055
