Format,LMUTelemetry v2
Version,1
Player,Dean Davids
TrackName,Algarve International Circuit
CarName,The Bend Team WRT 2025 #31:LM
SessionUTC,2025-11-18T16:38:08Z
LapTime [s],10259.110352
TrackLen [m],0.00
GameVersion,1.0
Event,Practice

LapDistance [m],LapTime [s],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Y [m],Z [m]
3.545,10259.110,0,233.15,6442.31,93.62,0.00,0.47,5,-174.18,-8.76,58.30
42.628,10259.110,0,236.15,6523.25,93.80,0.00,0.48,5,-185.16,-8.75,95.83
42.628,10259.110,0,236.24,6517.52,93.76,0.00,0.34,5,-185.53,-8.75,97.09
42.628,10259.110,0,236.33,6527.73,93.74,0.00,0.23,5,-185.90,-8.75,98.35
42.628,10259.110,0,236.33,6527.73,93.74,0.00,0.23,5,-185.90,-8.75,98.35
42.628,10259.110,0,236.44,6527.46,93.78,0.00,0.10,5,-186.26,-8.75,99.61
42.628,10259.110,0,236.53,6524.36,93.76,0.00,-0.05,5,-186.63,-8.75,100.87
42.628,10259.110,0,236.53,6524.36,93.76,0.00,-0.05,5,-186.63,-8.75,100.87
42.628,10259.110,0,236.62,6536.21,93.75,0.00,-0.21,5,-187.00,-8.75,102.14
42.628,10259.110,0,236.73,6530.44,93.74,0.00,-0.28,5,-187.36,-8.75,103.40
42.628,10259.110,0,236.73,6530.44,93.74,0.00,-0.28,5,-187.36,-8.75,103.40
42.628,10259.110,0,236.81,6535.22,93.77,0.00,-0.40,5,-187.73,-8.75,104.66
42.628,10259.110,0,236.90,6540.57,93.76,0.00,-0.43,5,-188.10,-8.76,105.93
42.628,10259.110,0,236.90,6540.57,93.76,0.00,-0.43,5,-188.10,-8.76,105.93
42.628,10259.110,0,237.02,6536.88,93.74,0.00,-0.40,5,-188.47,-8.76,107.19
42.628,10259.110,0,237.02,6536.88,93.74,0.00,-0.40,5,-188.47,-8.76,107.19
55.750,10259.110,0,237.10,6551.14,93.74,0.00,-0.38,5,-188.83,-8.76,108.45
55.750,10259.110,0,237.21,6543.54,93.76,0.00,-0.34,5,-189.20,-8.76,109.72
55.750,10259.110,0,237.21,6543.54,93.76,0.00,-0.34,5,-189.20,-8.76,109.72
55.750,10259.110,0,237.29,6547.64,93.77,0.00,-0.29,5,-189.57,-8.76,110.98
55.750,10259.110,0,237.38,6554.94,93.78,0.00,-0.27,5,-189.94,-8.77,112.25
55.750,10259.110,0,237.38,6554.94,93.78,0.00,-0.27,5,-189.94,-8.77,112.25
55.750,10259.110,0,237.48,6549.37,93.73,0.00,-0.24,5,-190.31,-8.77,113.52
55.750,10259.110,0,237.54,6564.67,93.73,0.00,-0.21,5,-190.68,-8.77,114.78
55.750,10259.110,0,237.54,6564.67,93.73,0.00,-0.21,5,-190.68,-8.77,114.78
55.750,10259.110,0,237.63,6568.88,93.67,0.00,-0.21,5,-191.05,-8.77,116.05
55.750,10259.110,0,237.63,6568.88,93.67,0.00,-0.21,5,-191.05,-8.77,116.05
55.750,10259.110,0,237.74,6571.95,93.51,0.00,-0.05,5,-191.42,-8.77,117.32
55.750,10259.110,0,237.82,6592.82,93.39,0.00,-0.01,5,-191.79,-8.76,118.59
55.750,10259.110,0,237.82,6592.82,93.39,0.00,-0.01,5,-191.79,-8.76,118.59
55.750,10259.110,0,237.95,6564.78,93.24,0.00,0.03,5,-192.16,-8.76,119.85
68.948,10259.110,0,238.04,6571.29,93.16,0.00,0.02,5,-192.53,-8.75,121.12
68.948,10259.110,0,238.04,6571.29,93.16,0.00,0.02,5,-192.53,-8.75,121.12
68.948,10259.110,0,238.13,6569.22,93.03,0.00,-0.02,5,-192.91,-8.75,122.39
68.948,10259.110,0,238.22,6574.22,92.89,0.00,-0.07,5,-193.28,-8.75,123.66
68.948,10259.110,0,238.22,6574.22,92.89,0.00,-0.07,5,-193.28,-8.75,123.66
68.948,10259.110,0,238.31,6580.93,92.68,0.00,-0.07,5,-193.65,-8.75,124.93
68.948,10259.110,0,238.31,6580.93,92.68,0.00,-0.07,5,-193.65,-8.75,124.93
68.948,10259.110,0,238.42,6572.96,92.42,0.00,-0.09,5,-194.03,-8.75,126.20
68.948,10259.110,0,238.51,6580.01,92.23,0.00,-0.09,5,-194.40,-8.75,127.47
68.948,10259.110,0,238.51,6580.01,92.23,0.00,-0.09,5,-194.40,-8.75,127.47
68.948,10259.110,0,238.60,6580.26,92.04,0.00,-0.08,5,-194.77,-8.75,128.74
68.948,10259.110,0,238.68,6579.29,91.87,0.00,-0.06,5,-195.14,-8.75,130.02
68.948,10259.110,0,238.68,6579.29,91.87,0.00,-0.06,5,-195.14,-8.75,130.02
68.948,10259.110,0,238.76,6590.01,91.71,0.00,-0.02,5,-195.52,-8.75,131.29
68.948,10259.110,0,238.85,6583.86,91.67,0.00,0.01,5,-195.89,-8.75,132.56
68.948,10259.110,0,238.85,6583.86,91.67,0.00,0.01,5,-195.89,-8.75,132.56
82.208,10259.110,0,238.93,6588.78,91.61,0.00,0.02,5,-196.27,-8.76,133.84
82.208,10259.110,0,238.93,6588.78,91.61,0.00,0.02,5,-196.27,-8.76,133.84
82.208,10259.110,0,239.01,6596.23,91.59,0.00,0.04,5,-196.64,-8.76,135.11
82.208,10259.110,0,239.10,6594.56,91.58,0.00,0.05,5,-197.01,-8.76,136.38
82.208,10259.110,0,239.10,6594.56,91.58,0.00,0.05,5,-197.01,-8.76,136.38
82.208,10259.110,0,239.18,6608.45,91.59,0.00,0.09,5,-197.39,-8.76,137.66
82.208,10259.110,0,239.27,6606.39,91.58,0.00,0.11,5,-197.76,-8.76,138.93
82.208,10259.110,0,239.27,6606.39,91.58,0.00,0.11,5,-197.76,-8.76,138.93
82.208,10259.110,0,239.37,6600.40,91.54,0.00,0.11,5,-198.14,-8.77,140.21
82.208,10259.110,0,239.37,6600.40,91.54,0.00,0.11,5,-198.14,-8.77,140.21
82.208,10259.110,0,239.44,6609.64,91.57,0.00,0.08,5,-198.51,-8.77,141.49
82.208,10259.110,0,239.53,6603.56,91.55,0.00,0.06,5,-198.89,-8.77,142.76
82.208,10259.110,0,239.53,6603.56,91.55,0.00,0.06,5,-198.89,-8.77,142.76
82.208,10259.110,0,239.61,6613.74,91.48,0.00,0.02,5,-199.26,-8.77,144.04
82.208,10259.110,0,239.69,6616.80,91.52,0.00,-0.02,5,-199.64,-8.77,145.32
82.208,10259.110,0,239.69,6616.80,91.52,0.00,-0.02,5,-199.64,-8.77,145.32
95.521,10259.110,0,239.79,6612.53,91.50,0.00,-0.03,5,-200.01,-8.77,146.59
95.521,10259.110,0,239.87,6623.85,91.51,0.00,-0.03,5,-200.39,-8.77,147.87
95.521,10259.110,0,239.87,6623.85,91.51,0.00,-0.03,5,-200.39,-8.77,147.87
95.521,10259.110,0,239.95,6616.06,91.47,0.00,-0.04,5,-200.76,-8.77,149.15
95.521,10259.110,0,240.02,6622.84,91.43,0.00,-0.04,5,-201.14,-8.77,150.43
95.521,10259.110,0,240.02,6622.84,91.43,0.00,-0.04,5,-201.14,-8.77,150.43
95.521,10259.110,0,240.11,6627.07,91.39,0.00,0.01,5,-201.52,-8.77,151.71
95.521,10259.110,0,240.11,6627.07,91.39,0.00,0.01,5,-201.52,-8.77,151.71
95.521,10259.110,0,240.19,6629.72,91.37,0.00,0.05,5,-201.89,-8.77,152.99
95.521,10259.110,0,240.26,6641.56,91.36,0.00,0.06,5,-202.27,-8.77,154.27
95.521,10259.110,0,240.26,6641.56,91.36,0.00,0.06,5,-202.27,-8.77,154.27
95.521,10259.110,0,240.36,6629.78,91.33,0.00,0.09,5,-202.64,-8.77,155.55
95.521,10259.110,0,240.44,6630.47,91.36,0.00,0.07,5,-203.02,-8.77,156.83
95.521,10259.110,0,240.44,6630.47,91.36,0.00,0.07,5,-203.02,-8.77,156.83
95.521,10259.110,0,240.52,6636.85,91.35,0.00,0.04,5,-203.39,-8.77,158.12
95.521,10259.110,0,240.52,6636.85,91.35,0.00,0.04,5,-203.39,-8.77,158.12
108.871,10259.110,0,240.62,6631.93,91.34,0.00,-0.00,5,-203.77,-8.77,159.40
108.871,10259.110,0,240.70,6641.88,91.21,0.00,-0.07,5,-204.15,-8.77,160.68
108.871,10259.110,0,240.70,6641.88,91.21,0.00,-0.07,5,-204.15,-8.77,160.68
108.871,10259.110,0,240.78,6639.57,90.76,0.00,-0.16,5,-204.52,-8.76,161.96
108.871,10259.110,0,240.86,6637.46,89.97,0.00,-0.24,5,-204.90,-8.77,163.25
108.871,10259.110,0,240.86,6637.46,89.97,0.00,-0.24,5,-204.90,-8.77,163.25
108.871,10259.110,0,240.92,6645.33,88.55,0.00,-0.31,5,-205.28,-8.77,164.53
108.871,10259.110,0,240.92,6645.33,88.55,0.00,-0.31,5,-205.28,-8.77,164.53
108.871,10259.110,0,241.00,6639.00,86.35,0.00,-0.33,5,-205.66,-8.77,165.82
108.871,10259.110,0,241.06,6641.70,83.19,0.00,-0.30,5,-206.03,-8.77,167.10
108.871,10259.110,0,241.06,6641.70,83.19,0.00,-0.30,5,-206.03,-8.77,167.10
108.871,10259.110,0,241.10,6639.60,79.18,2.19,-0.26,5,-206.41,-8.77,168.39
108.871,10259.110,0,241.10,6619.60,74.41,4.88,-0.18,5,-206.79,-8.77,169.67
108.871,10259.110,0,241.10,6619.60,74.41,4.88,-0.18,5,-206.79,-8.77,169.67
108.871,10259.110,0,241.03,6613.61,69.52,7.13,-0.09,5,-207.17,-8.77,170.96
108.871,10259.110,0,241.03,6613.61,69.52,7.13,-0.09,5,-207.17,-8.77,170.96
122.268,10259.110,0,240.90,6595.53,63.77,10.77,-0.00,5,-207.55,-8.77,172.24
122.268,10259.110,0,240.71,6581.03,57.84,14.25,0.08,5,-207.92,-8.77,173.52
122.268,10259.110,0,240.71,6581.03,57.84,14.25,0.08,5,-207.92,-8.77,173.52
122.268,10259.110,0,240.44,6577.55,51.98,15.68,0.21,5,-208.30,-8.77,174.81
122.268,10259.110,0,240.15,6561.19,46.17,17.11,0.29,5,-208.68,-8.77,176.09
122.268,10259.110,0,240.15,6561.19,46.17,17.11,0.29,5,-208.68,-8.77,176.09
122.268,10259.110,0,239.81,6540.76,40.40,19.63,0.37,5,-209.06,-8.77,177.36
122.268,10259.110,0,239.81,6540.76,40.40,19.63,0.37,5,-209.06,-8.77,177.36
122.268,10259.110,0,239.42,6520.19,34.69,22.59,0.42,5,-209.43,-8.77,178.64
122.268,10259.110,0,238.96,6493.33,29.26,25.81,0.44,5,-209.81,-8.77,179.92
122.268,10259.110,0,238.96,6493.33,29.26,25.81,0.44,5,-209.81,-8.77,179.92
